"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"American Songwriter (Blu-ray/ On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9, BLU-RAY",14.95,"NR","2012","Music","1.85:1","889290488336",2016-01-13 00:00:00,299283,2017-02-28 00:00:00,"0"
"American Songwriter (On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9",14.95,"NR","2012","Music","1.85:1","889290434241",2016-01-13 00:00:00,299304,2017-02-28 00:00:00,"0"
"Ancient Alien Conspiracy: UFOs And The Dawn Of Civilization","Sector 5 Films",,"Out","2.0","LBX, 16:9",19.99,"NR","UNK","Documentary","1.78:1","812073022311",2017-02-28 00:00:00,297786,2017-02-28 00:00:00,"1"
"Animals Like Us (UNK)","BBC Home Video",,"Out","2.0","LBX, 16:9",19.98,"NR","UNK","Documentary","1.78:1","883929573639",2017-02-28 00:00:00,297857,2017-02-28 00:00:00,"1"
"Ape (1976/ a.k.a. A*P*E/ Kino Lorber Studio Classics)","Kino Lorber Studio Classics",,"Out","2.0","LBX, 16:9",19.95,"PG","1976","SciFi","2.35:1","738329203696",2017-02-28 00:00:00,298115,2017-02-28 00:00:00,"1"
"Ape (1976/ a.k.a. A*P*E/ Kino Lorber Studio Classics/ Blu-ray 3D)","Kino Lorber Studio Classics",,"Out","2.0","LBX, 16:9, BLU-RAY",29.95,"PG","1976","SciFi","2.35:1","738329203702",2017-02-28 00:00:00,298107,2017-02-28 00:00:00,"1"
"Arise From Darkness","Indican Pictures",,"Out","2.0","LBX, 16:9",24.99,"NR","2016","Suspense/Thriller","1.85:1","825284202540",2017-02-28 00:00:00,298854,2017-02-28 00:00:00,"1"
"Art That Nature Makes: The Work Of Rosamond Purcell","Kino Lorber",2017-04-25 00:00:00,"Pending","2.0","LBX, 16:9",29.95,"NR","2015","Documentary","1.85:1","738329214067",2017-04-25 00:00:00,299255,2017-02-28 00:00:00,"0"
"Babyface (DVD & Blu-ray Combo)","Vinegar Syndrome",,"Out","1.0 DTS-HD","LBX, 16:9, BLU-RAY",29.98,"UR","1977","Late Night","1.85:1","814456020761",2017-02-28 00:00:00,297979,2017-02-28 00:00:00,"1"
"Bach: Messe In H-Moll / Mass In B Minor / Mess In Si Mineur: Ensemble Orchestral De Paris","Ideale Audience",,"Out","2.0","4:3",24.99,"NR","VAR","Music","1.33:1","880242730787",2017-03-03 00:00:00,298715,2017-02-28 00:00:00,"1"
