"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Hunter X Hunter, Vol. 2 (Blu-ray)","Viz Entertainment",,"Out","SUB","LBX, 16:9, BLU-RAY",29.98,"MA15","2000","Anime","1.78:1","782009244714",2017-02-28 00:00:00,297956,2017-02-28 00:00:00,"1"
"Interactive Level (PAL)","Cambridge University Press",,"Out","2.0","4:3",117.25,"NR","2011","Special Interest","1.33:1","9780521147132",2017-03-01 00:00:00,203293,2017-02-28 00:00:00,"1"
"Interactive Level 4 Classware (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2012","Special Interest","1.33:1","9780521279628",2017-03-01 00:00:00,223865,2017-02-28 00:00:00,"1"
"Interactive Level 4 DVD (NTSC)","Cambridge University Press",,"Out","2.0","4:3",117.25,"NR","2012","Special Interest","1.33:1","9780521147293",2017-03-01 00:00:00,224619,2017-02-28 00:00:00,"1"
"Interactive Level 4 DVD (PAL)","Cambridge University Press",,"Out","2.0","4:3",117.25,"NR","2012","Special Interest","1.33:1","9780521147286",2017-03-01 00:00:00,224616,2017-02-28 00:00:00,"1"
"Interactive: Level 2 DVD (PAL)","Cambridge University Press",,"Out","2.0","4:3",117.25,"NR","2011","Special Interest","1.33:1","9780521147248",2017-03-01 00:00:00,201805,2017-02-28 00:00:00,"1"
"Izumo: Flash Of A Brave Sword: TV Series: Complete Collection","Discotek Media",,"Out","SUB","4:3",39.95,"MA13","2005","Anime","1.33:1","875707132022",2017-02-28 00:00:00,298942,2017-02-28 00:00:00,"1"
"JAG: The Complete 1st - 4th Seasons","Paramount",,"Out","2.0","4:3",59.99,"NR","VAR","TV Classics","1.33:1","032429269829",2017-02-28 00:00:00,298908,2017-02-28 00:00:00,"1"
"JAG: The Complete 5th - 8th Seasons","Paramount",,"Out","2.0","4:3",59.99,"NR","VAR","TV Classics","1.33:1","032429269836",2017-02-28 00:00:00,298958,2017-02-28 00:00:00,"1"
"Joe Bullet (Special Edition/ Restored Version/ On Demand DVD-R)","Film Detective",,"Out","2.0","LBX, 16:9",14.99,"NR","1973","Action/Adventure","1.78:1","191091369814",2017-02-21 00:00:00,299299,2017-02-28 00:00:00,"0"
"Joe Bullet (Special Edition/ Restored Version/ On Demand DVD-R/ Alternate UPC)","Film Detective",,"Out","2.0","LBX, 16:9",19.49,"NR","1973","Action/Adventure","1.78:1","818522016849",2017-02-21 00:00:00,299253,2017-02-28 00:00:00,"0"
"Junction 48","Passion River",2017-05-02 00:00:00,"Pending","2.0","LBX, 16:9",24.95,"NR","2016","Action/Adventure","2.35:1","888608666930",2017-05-02 00:00:00,299276,2017-02-28 00:00:00,"0"
"K-9: World Cup","Anderson Digital",2017-05-09 00:00:00,"Pending","2.0","LBX, 16:9",19.99,"NR","2015","Animation","1.85:1","191329005415",2017-05-09 00:00:00,299291,2017-02-28 00:00:00,"0"
"K-9: World Cup (DVD & Blu-ray Combo)","Anderson Digital",2017-05-09 00:00:00,"Pending","2.0","LBX, 16:9, BLU-RAY",26.99,"NR","2015","Animation","1.85:1","191329015780",2017-05-09 00:00:00,299262,2017-02-28 00:00:00,"0"
"Key: The Metal Idol (Discotek Media): Complete OVA Series","Discotek Media",,"Out","SUB","4:3",39.95,"MA13","1994","Anime","1.33:1","875707153096",2017-02-28 00:00:00,298894,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 1 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",150,"NR","2015","Special Interest","1.33:1","9781107431249",2017-03-01 00:00:00,266342,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 1: Teacher's Booklet + Interactive DVD (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107695245",2017-03-01 00:00:00,266448,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 2: Teacher's Booklet + Interactive DVD (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107672918",2017-03-01 00:00:00,266361,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 3: Teacher's Booklet + Interactive DVD (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107669277",2017-03-01 00:00:00,266357,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 4 (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107670044",2017-03-01 00:00:00,269162,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 4 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",150,"NR","2015","Special Interest","1.33:1","9781107444089",2017-03-01 00:00:00,269165,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 5 (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107672017",2017-03-01 00:00:00,269180,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 5 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",150,"NR","2015","Special Interest","1.33:1","9781107444157",2017-03-01 00:00:00,269176,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 6 Interactive + Teacher's Booklet (DVD-ROM)+","Cambridge University Press",,"Out","2.0","4:3",206.25,"NR","2015","Special Interest","1.33:1","9781107654563",2017-03-01 00:00:00,270820,2017-02-28 00:00:00,"1"
"Kid's Box American English Level 6 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",150,"NR","2015","Special Interest","1.33:1","9781107444270",2017-03-01 00:00:00,269167,2017-02-28 00:00:00,"1"
"Kid's Box Level 3 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2015","Special Interest","1.33:1","9781107431874",2017-03-01 00:00:00,278311,2017-02-28 00:00:00,"1"
"Kid's Box Level 4 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2015","Special Interest","1.33:1","9781107432444",2017-03-01 00:00:00,278285,2017-02-28 00:00:00,"1"
"Kid's Box Level 5 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2015","Special Interest","1.33:1","9781107432505",2017-03-01 00:00:00,278313,2017-02-28 00:00:00,"1"
"Kid's Box Level 6 (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",196.5,"NR","2014","Special Interest","1.33:1","9781107669956",2017-03-01 00:00:00,269158,2017-02-28 00:00:00,"1"
"Kid's Box Level 6 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2015","Special Interest","1.33:1","9781107432529",2017-03-01 00:00:00,278298,2017-02-28 00:00:00,"1"
"Kiki, Love To Love","Strand",,"Out","SUB","LBX, 16:9",24.99,"NR","2016","Foreign","1.78:1","712267361724",2017-02-28 00:00:00,297730,2017-02-28 00:00:00,"1"
"Killa","Silk Road",2017-04-04 00:00:00,"Pending","SUB","LBX, 16:9",29.95,"NR","2014","Foreign","1.85:1","738329214012",2017-04-04 00:00:00,299252,2017-02-28 00:00:00,"0"
"King Kong (2005/ Widescreen/ Limited Edition/ DVD & Blu-ray Combo w/ Digital Copy/ Steelbook)","Universal",,"Discontinued","5.1 DTS-HD","LBX, 16:9, BLU-RAY",19.98,"PG-13","2005","Action/Adventure","2.35:1","025192232800",2014-05-06 00:00:00,260119,2017-02-28 00:00:00,"1"
"King Kong: The Ultimate Collection (Blu-ray w/ Movie Cash)","Universal",2017-05-16 00:00:00,"Pending","5.1 DTS-HD","LBX, 16:9, BLU-RAY",14.98,"VAR","VAR","Action/Adventure","2.35:1","191329005101",2017-05-16 00:00:00,299295,2017-02-28 00:00:00,"0"
"Kyousougiga: The Complete Series (DVD & Blu-ray Combo)","Discotek Media",,"Out","SUB","LBX, 16:9, BLU-RAY",59.95,"MA13","2013","Anime","1.85:1","875707101097",2017-02-28 00:00:00,298982,2017-02-28 00:00:00,"1"
"Labeque Way","EuroArts",,"Out","PCM","LBX, 16:9",24.99,"NR","2012","Music","1.78:1","880242640581",2017-03-03 00:00:00,298762,2017-02-28 00:00:00,"1"
"Lighting Up The Shadow Of Doubt: Plus Two Additional Bibleman Adventures!","B&H Publishing",,"Out","2.0","4:3",12.99,"NR","2017","Special Interest","1.33:1","9781433649516",2017-03-01 00:00:00,293259,2017-02-28 00:00:00,"1"
"London Road","BBC Home Video",,"Out","2.0","LBX, 16:9",19.98,"NR","2015","Musical","2.35:1","883929551323",2017-02-28 00:00:00,297882,2017-02-28 00:00:00,"1"
"Lost Cat Corona","Virgil Films and Entertainment",,"Out","2.0","LBX, 16:9",19.99,"NR","2015","Comedy","1.85:1","829567124727",2017-02-28 00:00:00,297863,2017-02-28 00:00:00,"1"
"Love Slaves","Vinegar Syndrome",,"Out","2.0","LBX, 16:9",24.98,"UR","1976","Late Night","1.85:1","814456020747",2017-02-28 00:00:00,297989,2017-02-28 00:00:00,"1"
"Magic Knight Rayearth (Discotek Media): Complete Collection","Discotek Media",,"Out","2.0","4:3",79.95,"MA13","1994","Anime","1.33:1","875707135092",2017-02-28 00:00:00,298938,2017-02-28 00:00:00,"1"
"Mary, Mother Of Jesus (Sonar Entertainment)","Sonar Entertainment",,"Out","2.0","LBX, 16:9",14.93,"PG-13","1999","Drama","1.78:1","883476152639",2017-02-28 00:00:00,296863,2017-02-28 00:00:00,"1"
"Massacre On Aisle 12","Indican Pictures",,"Out","2.0","LBX, 16:9",24.99,"NR","2016","Horror","1.85:1","825284202557",2017-02-28 00:00:00,298883,2017-02-28 00:00:00,"1"
"Maturita In Mind Level 2 Student's Book: Czech Edition (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",32,"NR","2011","Special Interest","1.33:1","9780521172042",2017-03-01 00:00:00,190614,2017-02-28 00:00:00,"1"
"Messages: Level A","Cambridge University Press",,"Out","2.0","4:3",32,"NR","2016","Special Interest","1.33:1","9780521684439",2017-03-01 00:00:00,274847,2017-02-28 00:00:00,"1"
"Messages: Level B","Cambridge University Press",,"Out","2.0","4:3",33.25,"NR","2016","Special Interest","1.33:1","9780521696906",2017-03-01 00:00:00,274838,2017-02-28 00:00:00,"1"
"Mighty Morphin Power Rangers: Best Of Blue","Shout! Factory",,"Out","2.0","4:3",14.93,"NR","UNK","TV Classics","1.33:1","826663173802",2017-02-28 00:00:00,297019,2017-02-28 00:00:00,"1"
"Mily Miss Questions: 10 Adventures For Curious Minds","Mily Miss Questions",,"Out","2.0","4:3",6.99,"NR","UNK","Family","1.33:1","843501005910",2017-02-28 00:00:00,297468,2017-02-28 00:00:00,"1"
"Moonlight (2016)","Lions Gate",,"Out","5.1","LBX, 16:9",19.98,"R","2016","Drama","2.35:1","031398257363",2017-02-28 00:00:00,298225,2017-02-28 00:00:00,"1"
"Moonlight (2016/ Blu-ray w/ Digital Copy)","Lions Gate",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",24.99,"R","2016","Drama","2.35:1","031398257394",2017-02-28 00:00:00,298189,2017-02-28 00:00:00,"1"
"Mother Of All Lies","House Lights Media",,"Out","2.0","LBX, 16:9",19.99,"NR","2015","Suspense/Thriller","1.78:1","855332003300",2017-02-28 00:00:00,297569,2017-02-28 00:00:00,"1"
"Mulan (1998/ Blu-ray) / Mulan II (Blu-ray) (w/ Digital Copy)","Buena Vista",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",29.99,"G","VAR","Animation","VAR","786936852899",2017-02-28 00:00:00,298221,2017-02-28 00:00:00,"1"
"Mummy Ultimate Collection (Blu-ray w/ Digital Copy): Mummy / Mummy Returns / Mummy: Tomb Of The Dragon Emperor / Scorpion King","Universal",2017-05-16 00:00:00,"Pending","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.98,"PG-13","VAR","Action/Adventure","2.35:1","191329002735",2017-05-16 00:00:00,299279,2017-02-28 00:00:00,"0"
"Mummy Ultimate Collection (Blu-ray w/ Digtal Copy & Movie Cash): Mummy / Mummy Returns / Mummy: Tomb Of The Dragon Emperor / ...","Universal",2017-05-16 00:00:00,"Pending","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.98,"PG-13","VAR","Action/Adventure","2.35:1","191329005057",2017-05-16 00:00:00,299308,2017-02-28 00:00:00,"0"
"Mummy Ultimate Collection (w/ Movie Cash): Mummy / Mummy Returns / Mummy: Tomb Of The Dragon Emperor / Scorpion King","Universal",2017-05-16 00:00:00,"Pending","5.1","LBX, 16:9",26.98,"PG-13","VAR","Action/Adventure","2.35:1","191329005125",2017-05-16 00:00:00,299309,2017-02-28 00:00:00,"0"
"Mummy Ultimate Collection: Mummy / Mummy Returns / Mummy: Tomb Of The Dragon Emperor / Scorpion King","Universal",2017-05-16 00:00:00,"Pending","5.1","LBX, 16:9",26.98,"PG-13","VAR","Action/Adventure","2.35:1","191329002728",2017-05-16 00:00:00,299303,2017-02-28 00:00:00,"0"
"My Little Pony Friendship Is Magic: Twilight And Starlight","Shout! Factory",2017-05-30 00:00:00,"Pending","2.0","LBX, 16:9",14.98,"NR","UNK","Family","1.78:1","826663175691",2017-05-30 00:00:00,299263,2017-02-28 00:00:00,"0"
"Nature: Forest Of The Lynx","PBS",2017-05-30 00:00:00,"Pending","2.0","LBX, 16:9",24.99,"NR","2017","Documentary","1.78:1","841887032124",2017-05-30 00:00:00,299261,2017-02-28 00:00:00,"0"
"Nature: Hotel Armadillo","PBS",2017-05-23 00:00:00,"Pending","2.0","LBX, 16:9",24.99,"NR","2017","Documentary","1.78:1","841887033626",2017-05-23 00:00:00,299285,2017-02-28 00:00:00,"0"
"NCIS: Naval Criminal Investigative Service: The 5th - 8th Seasons","Paramount",,"Out","5.1","LBX, 16:9",64.99,"NR","VAR","TV Classics","1.78:1","032429270009",2017-02-28 00:00:00,298918,2017-02-28 00:00:00,"1"
"Needlestick (Blu-ray/ On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9, BLU-RAY",20.99,"NR","2017","Suspense/Thriller","1.85:1","191091266038",2017-02-21 00:00:00,299286,2017-02-28 00:00:00,"0"
"Newsreaders: The Complete 1st Season (On Demand DVD-R)","Warner Brothers Digital Dist.",2017-03-21 00:00:00,"Pending","2.0","LBX, 16:9",21.99,"NR","2013","TV Classics","1.78:1","888574487966",2017-03-21 00:00:00,299280,2017-02-28 00:00:00,"0"
"Nick Cave: One More Time With Feeling","Bad Seed Ltd.",,"Out","2.0","LBX, 16:9",19.98,"NR","2016","Music","1.85:1","5060454947820",2017-03-03 00:00:00,298750,2017-02-28 00:00:00,"1"
"Nick Cave: One More Time With Feeling (Blu-ray 3D)","Bad Seed Ltd.",,"Out","2.0","LBX, 16:9",29.98,"NR","2016","Music","1.85:1","5060454947578",2017-03-03 00:00:00,298817,2017-02-28 00:00:00,"1"
"Nick Cave: One More Time With Feeling (Blu-ray)","Bad Seed Ltd.",,"Out","2.0","LBX, 16:9, BLU-RAY",25.98,"NR","2016","Music","1.85:1","5060454947561",2017-03-03 00:00:00,298712,2017-02-28 00:00:00,"1"
"Objective Advanced Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2014","Special Interest","1.33:1","9781107463462",2017-03-01 00:00:00,270780,2017-02-28 00:00:00,"1"
"Officer Downe","Magnolia Pictures",,"Out","2.0","LBX, 16:9",26.98,"R","2016","Action/Adventure","1.85:1","876964011358",2017-02-28 00:00:00,297717,2017-02-28 00:00:00,"1"
"Officer Downe (Blu-ray)","Magnolia Pictures",,"Out","2.0","LBX, 16:9, BLU-RAY",29.98,"R","2016","Action/Adventure","1.85:1","876964011365",2017-02-28 00:00:00,297694,2017-02-28 00:00:00,"1"
"Olympus Has Fallen (Blu-ray) / White House Down (Blu-ray)","Sony Pictures",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",19.99,"VAR","2013","Action/Adventure","2.35:1","043396496002",2017-02-28 00:00:00,298184,2017-02-28 00:00:00,"1"
"Outcasts (2010): Season 1","BBC Home Video",,"Discontinued","2.0","LBX, 16:9",34.98,"NR","2010","TV Classics","1.78:1","883929172788",2011-08-16 00:00:00,206908,2017-02-28 00:00:00,"1"
"Outcasts (2010): Season 1 (Blu-ray)","BBC Home Video",,"Discontinued","2.0","LBX, 16:9, BLU-RAY",34.99,"NR","2010","TV Classics","1.78:1","883929172801",2011-08-16 00:00:00,206890,2017-02-28 00:00:00,"1"
"Outcasts (2017)","Monarch",2017-05-16 00:00:00,"Pending","2.0","LBX, 16:9",19.95,"PG-13","2017","Comedy","1.85:1","723952079527",2017-05-16 00:00:00,299259,2017-02-28 00:00:00,"0"
"PAW Patrol (Limited Edition Gift Set w/ Golden Book)","Nickelodeon",,"Out","2.0","LBX, 16:9",16.99,"NR","2013","Animation","1.78:1","032429262912",2017-02-28 00:00:00,298213,2017-02-28 00:00:00,"1"
"Peekarama: The Night Bird / Night Of The Spanish Fly","Vinegar Syndrome",,"Out","2.0","LBX, 16:9",24.98,"UR","VAR","Late Night","1.85:1","814456020778",2017-02-28 00:00:00,297983,2017-02-28 00:00:00,"1"
"Peripheral Vertigo And Dizziness: A Practical Guide (Book w/ DVD)","World Scientific",,"Out","2.0","4:3",80,"NR","2012","Special Interest","1.33:1","9789814390095",2017-02-28 00:00:00,224338,2017-02-28 00:00:00,"1"
"Place To Call Home: Season 4","Acorn Media",,"Out","2.0","LBX, 16:9",59.99,"NR","2016","TV Classics","1.78:1","054961247295",2017-02-28 00:00:00,297777,2017-02-28 00:00:00,"1"
"Pocahontas (1995/ Blu-ray) / Pocahontas II: Journey To A New World (Blu-ray) (w/ Digital Copy)","Buena Vista",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",29.99,"G","VAR","Animation","1.66:1","786936852943",2017-02-28 00:00:00,298209,2017-02-28 00:00:00,"1"
"Pocket Guide To The OSCE For The MRCOG + DVD (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",59.99,"NR","2016","Special Interest","1.33:1","9781904752257",2017-03-01 00:00:00,274891,2017-02-28 00:00:00,"1"
"Power Rangers Mystic Force: The Complete Series","Shout! Factory",2017-05-23 00:00:00,"Pending","2.0","4:3",19.97,"NR","2006","TV Classics","1.33:1","826663175615",2017-05-23 00:00:00,299269,2017-02-28 00:00:00,"0"
"Primary i-Dictionary: Level 2: Movers (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",48.75,"NR","2016","Special Interest","1.33:1","9781107647893",2017-03-01 00:00:00,274873,2017-02-28 00:00:00,"1"
"Primary i-Dictionary: Level 3: Flyers (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",48.75,"NR","2016","Special Interest","1.33:1","9781107680012",2017-03-01 00:00:00,274852,2017-02-28 00:00:00,"1"
"Princess And The Frog (Blu-ray w/ Digital Copy)","Buena Vista",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",29.99,"G","2009","Animation","1.85:1","786936852905",2017-02-28 00:00:00,298238,2017-02-28 00:00:00,"1"
"Pulse (2001/ a.k.a. Kairo/ Arrow/ DVD & Blu-ray Combo)","Arrow",,"Out","SUB","LBX, 16:9, BLU-RAY",39.95,"R","2001","Foreign","1.85:1","760137960287",2017-02-28 00:00:00,296267,2017-02-28 00:00:00,"1"
"Race To Learn: Years 5 And 6 (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",300,"NR","2009","Special Interest","1.33:1","9781845652470",2017-03-01 00:00:00,163774,2017-02-28 00:00:00,"1"
"Race Underground: The American Experience","PBS",,"Out","2.0","LBX, 16:9",24.99,"NR","2017","Documentary","1.78:1","841887031714",2017-02-28 00:00:00,297563,2017-02-28 00:00:00,"1"
"Rachel Carson: The American Experience","PBS",,"Out","2.0","LBX, 16:9",24.99,"NR","2017","Documentary","1.78:1","841887029186",2017-02-28 00:00:00,297566,2017-02-28 00:00:00,"1"
"Raid: Redemption (Blu-ray) / The Raid 2 (Blu-ray)","Sony Pictures",,"Out","SUB","LBX, 16:9, BLU-RAY",19.99,"R","VAR","Foreign","VAR","043396494510",2017-02-28 00:00:00,297805,2017-02-28 00:00:00,"1"
"Raw Meat (Blue Underground/ DVD & Blu-ray Combo/ Collector's Edition w/ Digital Copy)","Blue Underground",,"Out","2.0","LBX, 16:9",38.99,"R","1972","Horror","1.85:1","827058706995",2017-02-28 00:00:00,298128,2017-02-28 00:00:00,"1"
"RDG: Red Data Girl: Complete Series (Super Amazing Value Edition)","FUNimation",,"Out","SUB","LBX, 16:9",24.98,"MA13","2013","Anime","2.35:1","704400015496",2017-02-28 00:00:00,298167,2017-02-28 00:00:00,"1"
"Rodgers & Hammerstein's Carousel: Live From Lincoln Center","PBS",,"Out","2.0","LBX, 16:9",24.99,"NR","2013","Musical","1.78:1","841887032070",2017-02-28 00:00:00,297745,2017-02-28 00:00:00,"1"
"Rules Don't Apply","Fox",,"Out","5.1","LBX, 16:9",29.98,"PG-13","2016","Drama","1.85:1","024543316084",2017-02-28 00:00:00,298530,2017-02-28 00:00:00,"1"
"Rules Don't Apply (Blu-ray)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"PG-13","2016","Drama","1.85:1","024543316138",2017-02-28 00:00:00,298531,2017-02-28 00:00:00,"1"
"S&M Sally","Ariztical Entertainment",2017-04-18 00:00:00,"Pending","2.0","LBX, 16:9",24.95,"NR","2015","Comedy","1.78:1","631008076492",2017-04-18 00:00:00,299272,2017-02-28 00:00:00,"0"
"School Days: Complete TV Series (Blu-ray)","Discotek Media",,"Out","SUB","LBX, 16:9, BLU-RAY",39.95,"MA13","2007","Anime","1.85:1","875707144025",2017-02-28 00:00:00,296524,2017-02-28 00:00:00,"1"
"Scrapped Princess (FUNimation): The Complete Series (DVD & Blu-ray Combo)","FUNimation",,"Out","SUB","4:3, BLU-RAY",64.98,"MA13","2003","Anime","1.33:1","704400023866",2017-02-28 00:00:00,298131,2017-02-28 00:00:00,"1"
"SCUM Manifesto","Facets",,"Out","SUB","LBX, 16:9",19.95,"NR","2016","Foreign","1.78:1","736899121433",2017-02-28 00:00:00,298960,2017-02-28 00:00:00,"1"
"Shut In","Fox",,"Out","5.1","LBX, 16:9",29.98,"PG-13","2016","Thriller","2.35:1","024543220268",2017-02-28 00:00:00,296941,2017-02-28 00:00:00,"1"
"Shut In (Blu-ray)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"PG-13","2016","Thriller","2.35:1","024543220329",2017-02-28 00:00:00,296955,2017-02-28 00:00:00,"1"
"Snow White And The Seven Dwarfs (1937/ Buena Vista/ Walt Disney Signature Collection)","Buena Vista",,"Out","5.1","4:3",29.99,"G","1937","Animation","1.33:1","786936852912",2017-02-28 00:00:00,298124,2017-02-28 00:00:00,"1"
"Sound Of Redemption: The Frank Morgan Story","Kino Lorber",,"Out","2.0","LBX, 16:9",29.95,"NR","2014","Documentary","1.85:1","738329212117",2017-02-28 00:00:00,298086,2017-02-28 00:00:00,"1"
"Star Fleet: The Complete TV Series","Discotek Media",,"Out","DUB","4:3",49.95,"NR","1980","Animation","1.33:1","875707113090",2017-02-28 00:00:00,296395,2017-02-28 00:00:00,"1"
"Static Shock: Season 1 (On Demand DVD-R)","Warner Brothers Digital Dist.",2017-03-28 00:00:00,"Pending","2.0","4:3",24.99,"NR","2000","Animation","1.33:1","888574472979",2017-03-28 00:00:00,299265,2017-02-28 00:00:00,"0"
"Stuff (2015/ Blu-ray/ On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9, BLU-RAY",19.99,"NR","2015","Drama","1.85:1","191091266083",2017-02-28 00:00:00,299163,2017-02-28 00:00:00,"1"
"Stuff (2015/ On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9",16.99,"NR","2015","Drama","1.85:1","191091266090",2017-02-28 00:00:00,299231,2017-02-28 00:00:00,"1"
"Super Minds American English Level 3 Classware (DVD-ROM w/ Book)","Cambridge University Press",,"Out","2.0","4:3",176.5,"NR","2012","Special Interest","1.33:1","9781107604292",2017-03-01 00:00:00,226595,2017-02-28 00:00:00,"1"
"Super Minds American English Level 4 (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",28,"NR","2012","Special Interest","1.33:1","9781107604322",2017-03-01 00:00:00,226651,2017-02-28 00:00:00,"1"
"Super Minds American English Level 4 Classware (DVD-ROM w/ Book)","Cambridge University Press",,"Out","2.0","4:3",176.5,"NR","2012","Special Interest","1.33:1","9781107604377",2017-03-01 00:00:00,226639,2017-02-28 00:00:00,"1"
"Super Minds American English Starter Classware And Interactive DVD-ROM (DVD-ROM w/ Book)","Cambridge University Press",,"Out","2.0","4:3",176.5,"NR","2012","Special Interest","1.33:1","9781107698741",2017-03-01 00:00:00,226023,2017-02-28 00:00:00,"1"
"Super Minds American English: Level 1 Classware + Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",176.5,"NR","2012","Special Interest","1.33:1","9781107650602",2017-03-01 00:00:00,225226,2017-02-28 00:00:00,"1"
"Super Minds American English: Level 2 Classware + Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",176.5,"NR","2012","Special Interest","1.33:1","9781107604193",2017-03-01 00:00:00,225256,2017-02-28 00:00:00,"1"
"Super Minds American English: Level 4 Classware + Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",168,"NR","2012","Special Interest","1.33:1","9780521223089",2017-03-01 00:00:00,225348,2017-02-28 00:00:00,"1"
"Super Minds Level 1 Classware And Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",168,"NR","2012","Special Interest","1.33:1","9780521148580",2017-03-01 00:00:00,219443,2017-02-28 00:00:00,"1"
"Super Minds Level 2 Classware And Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",168,"NR","2012","Special Interest","1.33:1","9780521148610",2017-03-01 00:00:00,219465,2017-02-28 00:00:00,"1"
"Super Minds Level 3 Classware + Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",168,"NR","2012","Special Interest","1.33:1","9780521221849",2017-03-01 00:00:00,224612,2017-02-28 00:00:00,"1"
"Super Minds Level 3 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2014","Special Interest","1.33:1","9781107441293",2017-03-01 00:00:00,267706,2017-02-28 00:00:00,"1"
"Super Minds Level 4 Presentation Plus (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",240,"NR","2014","Special Interest","1.33:1","9781107441309",2017-03-01 00:00:00,267689,2017-02-28 00:00:00,"1"
"Super Minds Starter Classware And Interactive DVD-ROM (DVD-ROM/CD-ROM Combo)","Cambridge University Press",,"Out","2.0","4:3",168,"NR","2012","Special Interest","1.33:1","9780521148542",2017-03-01 00:00:00,219423,2017-02-28 00:00:00,"1"
"Super Safari: Level 1","Cambridge University Press",,"Out","2.0","4:3",193.25,"NR","2015","Special Interest","1.33:1","9781107476875",2017-03-01 00:00:00,274573,2017-02-28 00:00:00,"1"
"Super Safari: Level 2","Cambridge University Press",,"Out","2.0","4:3",193.25,"NR","2015","Special Interest","1.33:1","9781107477049",2017-03-01 00:00:00,274577,2017-02-28 00:00:00,"1"
"Super Safari: Level 3","Cambridge University Press",,"Out","2.0","4:3",193.25,"NR","2015","Special Interest","1.33:1","9781107477285",2017-03-01 00:00:00,274582,2017-02-28 00:00:00,"1"
